,ID,전국대비인구비율,지역별도시인구비율
85,의정부,0.008625506330705177,100.0
86,시흥,0.008657555844637926,100.0
87,파주,0.008718548327203502,89.33
88,광명,0.006306499207281032,100.0
89,김포,0.008165197357568708,92.32
90,군포,0.005343180734618467,100.0
91,광주,0.007019287343457854,54.43
92,이천,0.004133171692642113,68.47
93,양주,0.004186137325240185,73.0
94,오산,0.004246319404684042,100.0
95,구리,0.003927618729411781,100.0
96,안성,0.0035422141590970672,79.0
97,포천,0.002907340494479814,53.61
98,의왕,0.0029701660317254684,100.0
99,하남,0.004909016909813652,100.0
100,여주,0.002151909717850628,64.7
101,양평,0.0022400892956186383,69.62
102,동두천,0.0018567107331082227,95.31
103,과천,0.0011218680548331873,100.0
104,가평,0.001214022466960106,58.37
105,연천,0.0008612076793259545,79.65
106,춘천,0.0054150364780775635,91.06
107,원주,0.006638938144997674,89.59
108,강릉,0.004109071847427179,87.14
109,동해,0.0017611217553702087,99.56
110,태백,0.0008655491246208785,97.7
111,속초,0.0015760797092443399,100.0
112,삼척,0.0013183715165376554,79.2
113,홍천,0.0013496878085983732,50.15
114,횡성,0.000901592768224958,45.42
115,영월,0.0007666027625214566,61.86
116,평창,0.000822173262296483,44.24
117,정선,0.0007274332783050318,64.05
118,철원,0.0008955533354369083,86.96
119,화천,0.0004840036167905416,55.1
120,양구,0.0004516646731714638,52.6
121,인제,0.0006200741599896685,60.0
122,고성(강원),0.000543047272801507,54.21
123,양양,0.0005276689088012654,44.06
124,청주,0.01616462868612101,91.12
125,충주,0.004061740446056297,78.29
126,제천,0.0026123151675492054,89.71
127,보은,0.0006498661223690576,42.23
128,옥천,0.0009930332537922669,56.51
129,영동,0.0009592664570539697,52.0
130,진천,0.0015092407470149332,56.17
131,괴산,0.0007550834610055918,32.3
132,음성,0.0018490697893891565,58.5
133,단양,0.0005837796773241044,55.34
134,증평,0.0007200431736474502,84.39
135,천안,0.012466218972968792,89.43
136,공주,0.002075809005658717,70.08
137,보령,0.0019679289139079626,56.48
138,아산,0.006035998222438639,76.31
139,서산,0.0033605102020201846,69.67
140,논산,0.0023198754124831296,61.28
141,계룡,0.0008438033075214151,100.0
142,당진,0.003237174565019501,63.61
143,금산,0.0010269351177175175,56.39
144,부여,0.001313586279057028,58.89
145,서천,0.0010404418364128361,47.37
146,청양,0.00062316140997717,27.97
147,홍성,0.001950408770228892,80.0
148,예산,0.0015452265046817472,63.33
149,태안,0.0012201969669351088,60.47
150,전주,0.012563004260076963,99.9
151,군산,0.0052607704552646,87.3
152,익산,0.005674018161404092,85.0
153,정읍,0.0021643358990503215,70.25
154,남원,0.0015929052216762227,68.0
155,김제,0.001646488304271795,50.78
156,완주,0.0018223264863724252,60.0
157,진안,0.0005009641964093778,24.57
158,무주,0.00047445243714170894,43.62
