,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
336,경기도,안산시,빽다방,중앙역남부점,126.8386808,37.31436596,경기도 안산시,안산,1,빽다방
337,경기도,안산시,빽다방,안산초지풍림점,126.8166555,37.30812862,경기도 안산시,안산,1,빽다방
338,경기도,고양시,빽다방,-,126.8455327,37.61842788,경기도 고양시,고양,1,빽다방
339,강원도,강릉시,빽다방,강릉금학점,128.8949541,37.75279986,강원도 강릉시 신대학길 14,강릉,1,빽다방
340,경기도,파주시,빽다방,문산시장점,126.7831889,37.85744962,경기도 파주시 문산읍 문산로 35-3,파주,1,빽다방
341,경기도,용인시,빽다방수지구청점,수지구청점,127.0974694,37.3238765,경기도 용인시,용인,1,빽다방
342,경기도,수원시,빽다방광교경기대후문점,광교경기대후문점,127.044279,37.29994054,경기도 수원시,수원,1,빽다방
343,경기도,시흥시,빽다방,시흥정왕옥구점,126.7244113,37.35371874,경기도 시흥시 옥구상가2길 3,시흥,1,빽다방
344,경기도,고양시,빽다방,일산후곡점,126.7656934,37.67827588,경기도 고양시,고양,1,빽다방
345,경기도,수원시,빽다방,광교월드스퀘어점,127.0483619,37.29190871,경기도 수원시,수원,1,빽다방
346,경기도,고양시,빽다방,일산라페스타점,126.7678616,37.66301744,경기도 고양시,고양,1,빽다방
347,경기도,용인시,빽다방,-,127.1124821,37.2811252,경기도 용인시,용인,1,빽다방
348,경기도,의정부시,빽다방,의정부로데오점,127.0484742,37.74007581,경기도 의정부시 호국로1298번길 77,의정부,1,빽다방
349,경기도,구리시,빽다방,구리인창늘푸른점,127.1421868,37.6046935,경기도 구리시 건원대로34번길 35,구리,1,빽다방
350,강원도,삼척시,빽다방,삼척대학로점,129.1630768,37.44328111,강원도 삼척시 대학로 23-8,삼척,1,빽다방
351,경기도,남양주시,빽다방,남양주장현점,127.1808695,37.71760739,경기도 남양주시 진접읍 장현로 77,남양주,1,빽다방
352,경기도,부천시,빽다방,부천역CGV점,126.7813625,37.48575497,경기도 부천시 부일로460번길 5,부천,1,빽다방
353,경기도,안산시,빽다방,-,126.8289753,37.30949465,경기도 안산시,안산,1,빽다방
354,경기도,군포시,빽다방,산본중앙점,126.9303528,37.35986022,경기도 군포시 산본로343번길 23,군포,1,빽다방
355,경기도,성남시,빽다방역점,-,127.1556547,37.44391545,경기도 성남시,성남,1,빽다방
356,경기도,김포시,빽다방김포한강CGV점,김포한강CGV점,126.6841555,37.65429257,경기도 김포시 김포한강11로 288-32,김포,1,빽다방
357,경기도,성남시,빽다방,모란역점,127.1286959,37.43170851,경기도 성남시,성남,1,빽다방
358,경기도,성남시,빽다방,수내역초림점,127.1124998,37.37746946,경기도 성남시,성남,1,빽다방
359,경기도,부천시,빽다방,신중동역점,126.7767425,37.50349367,경기도 부천시 길주로 307,부천,1,빽다방
360,경기도,안양시,빽다방,평촌역금강점,126.966125,37.39611293,경기도 안양시,안양,1,빽다방
361,경기도,김포시,빽다방김포장기쌍용점,김포장기쌍용점,126.6788046,37.64224939,경기도 김포시 김포한강2로23번길 14,김포,1,빽다방
362,경기도,부천시,빽다방,상동역푸른마을점,126.7534727,37.50450283,경기도 부천시 상동로 84,부천,1,빽다방
363,경기도,안양시,빽다방,인덕원역우정점,126.9753786,37.40246489,경기도 안양시,안양,1,빽다방
364,충청북도,단양군,소백다방,-,128.3531958,36.92211562,충청북도 단양군 대강면 대강로 64,단양,1,빽다방
365,경기도,수원시,연백다방,-,127.0121293,37.30017215,경기도 수원시,수원,1,빽다방
366,경기도,고양시,빽다방,일산동구청점,126.7731111,37.65670201,경기도 고양시,고양,1,빽다방
367,경기도,부천시,빽다방,부천원종중앙점,126.8044016,37.5229419,경기도 부천시 소사로 747,부천,1,빽다방
368,경기도,안산시,빽다방,안산본오주공점,126.8630065,37.30069867,경기도 안산시,안산,1,빽다방
369,강원도,원주시,빽다방,원주단구GS점,127.948675,37.33038914,강원도 원주시 남원로534번길 20,원주,1,빽다방
370,강원도,춘천시,빽다방,강원대점,127.7449153,37.87300251,강원도 춘천시 서부대성로239번길 4,춘천,1,빽다방
371,경기도,시흥시,빽다방,-,126.7375503,37.34492125,경기도 시흥시 중심상가2길 22,시흥,1,빽다방
